CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,Issue Kind
11146,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Cfgmgr/LibCmParse/encrypt.cc,encrypt_fgetStrings,Quality
11149,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Cmg/ProcCmgAgent/cmg_agent.cc,listen_for_peers,Quality
11154,Unchecked return value,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Error handling issues,/boot/ppcbe/src/hardware/pci/server.c,find_ranges,Quality
11155,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tripmon/LibTripMon/trip.cc,save_trip_data,Quality
11157,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Debug/LibDebug/debug_status.cc,~debug_status,Quality
11158,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Stats/ProcStatTask/accumulator.cc,restore,Quality
11159,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Stats/ProcStatTask/accumulator.cc,restore,Quality
11160,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Bsp/LibComExpress/Fe211Post.cc,dataBusTest,Quality
11161,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Bsp/LibComExpress/Fe211Post.cc,ethernetTest,Quality
11162,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Bsp/LibComExpress/Fe211Post.cc,performAddressBusTest,Quality
11163,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Bsp/LibComExpress/Fe211Post.cc,fpgaRegisterTest,Quality
11164,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Bsp/LibComExpress/Fe211Post.cc,i2cTest,Quality
11165,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Bsp/LibComExpress/Fe211Post.cc,sataTest,Quality
11166,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Stats/ProcStatTask/stat_manager.cc,download_stat_file,Quality
11167,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Stats/ProcStatTask/stat_manager.cc,restore,Quality
11168,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Stats/ProcStatTask/stat_manager.cc,restore,Quality
11169,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/SwLoader/LibSwLoader/sw_loader.cc,get_free_mem,Quality
11170,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/SwLoader/LibSwLoader/sw_loader.cc,write_status,Quality
11172,Ignoring number of bytes read,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Error handling issues,/Tools/CPUAnalysis/ToolGetsPidin/pidin_proc.c,Environment,Quality
11173,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Rmd/ProcRmdAgent/RmdClientInterface.cc,initiate_ldss_file_generation,Quality
11175,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Stats/ProcStatTask/accumulator_set.cc,restore,Quality
11176,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Infra/LibInfra/os_task.cc,os_task,Quality
11177,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Rmd/ProcRmdAgent/RmdStatMessage.cc,find_numberof_stats,Quality
11178,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Rmd/ProcRmdAgent/RmdStatMessage.cc,form_Statistics_packet,Quality
11179,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Obd/ProcReportGenAgent/report_gen_agent.cc,process_dr_log,Quality
11180,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Obd/LibObdLog/log_mgr.cc,make_status,Quality
11182,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Modem/ProcModemAgent/sm.cc,sm_rsendfile,Quality
11183,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Modem/ProcAtlasModem/atlas_modem.c,main,Quality
11184,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Modem/ProcAtlasModem/atlas_modem.c,main,Quality
11185,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Modem/ProcAtlasModem/atlas_modem.c,main,Quality
11186,Ignoring number of bytes read,Medium,Fixed,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Mmi/ProcDispMca/mmi_lib.c,mmi_read_non_volatile_memory,Quality
11191,Unchecked return value from library,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Error handling issues,/Cmg/OpenSLP/LibOpenSLP/slp_property.c,InitializeMTUPropertyValue,Quality
11192,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Msgtrans/ProcMsgT/msg_trans.cc,initialize,Quality
11193,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Fepanel/Cmn/Dnldmgr/ProcDnldmgr/remotefl.cc,IterateFn,Quality
11195,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Dts/ProcDtsAgent/dts_agent.cc,initialize,Quality
11196,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Infra/LibInfra/cpo.cc,~central_post_office,Quality
11197,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Modem/LibAcp/acp_mproc.cc,unfifo_acp_frame,Quality
11198,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Cfgmgr/LibCmParse/soft_option.cc,soft_option,Quality
11199,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Mmi/ProcDisp/help.c,help_load,Quality
11200,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Mmi/ProcDisp/sw_loading.c,gui_update_sw_load_box,Quality
11201,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/Sharon/ProcSharon/sharon_sim.c,mmi_debug_raw_load,Quality
11202,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/SwLoader/LibSwLoader/sw_loader.cc,parse_enet_partition_table,Quality
11203,Unchecked return value from library,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Error handling issues,/Cmg/OpenSLP/LibOpenSLP/libslp_network.c,NetworkRqstRply,Quality
11204,Unchecked return value from library,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Error handling issues,/Cmg/OpenSLP/LibOpenSLP/libslp_network.c,NetworkMcastRqstRply,Quality
11205,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Drs/LibDrs/drs_defn.cc,f_read_ascii,Quality
11206,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Stats/ProcStatTask/restore.cc,restore_life_stats,Quality
11207,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/OSTools/ToolRstReport/rstreport.c,ProcessKernelDump,Quality
11208,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/OSTools/ToolRstReport/rstreport.c,DispRecs,Quality
11212,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Cmdparse/ProcConsoleInp/console_inp.cc,process_timer,Quality
11213,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/SwLoader/LibSwLoader/loader_socket.cc,accept,Quality
11214,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/SwLoader/LibSwLoader/loader_socket.cc,accept,Quality
11215,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/SwLoader/LibSwLoader/loader_socket.cc,connect,Quality
11216,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/Pccardlaunch/ToolPccardLaunch/PccardLaunch.c,main,Quality
11217,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Cmg/ProcCmgAgent/route_mgr_intfc.cc,start,Quality
11219,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/SimpleSockets/LibSimpleSockets/tcp_util.cc,tcp_listen,Quality
11220,Ignoring number of bytes read,Medium,Fixed,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Mmi/ProcDispMca/cs_switch_log.c,load_cs_switch_log,Quality
11221,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Launch/LibLaunch/log_file.cc,activate,Quality
11222,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/CPUAnalysis/ToolColCtrl/col_ctrl.cc,do_cmd,Quality
11223,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Cfgmgr/LibCmParse/encrypt.cc,encrypt_file,Quality
11224,Unchecked return value from library,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Error handling issues,/Cmg/OpenSLP/LibOpenSLP/slp_network.c,SLPNetworkSetSndRcvBuf,Quality
11225,Unchecked return value from library,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Error handling issues,/Cmg/OpenSLP/LibOpenSLP/slp_network.c,SLPNetworkCreateDatagram,Quality
11226,Unchecked return value from library,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Error handling issues,/Cmg/OpenSLP/LibOpenSLP/slp_network.c,SLPNetworkConnectStream,Quality
11227,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Paneldwnld/ProcPanelDown/message_builder.cc,build_message,Quality
11228,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Arcnet/ProcArc20022/tx.c,tx,Quality
11229,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/SwLoader/ProcScioDispLoadLauncher/scio_disp_sw_load_launcher.cc,ping_target,Quality
11230,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Arcnet/ProcArc20022/irq.c,irq_hdlr,Quality
11231,Unchecked return value,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Error handling issues,/boot/ppcbe/src/lib/io-char/tte.c,tte,Quality
11232,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Relay/LibRelay/tcp_receiver.cc,accept,Quality
11233,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Infra/ProcGmCtrl/gm_ctrl.cc,do_gm_ctrl,Quality
11234,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/Chkglob/ToolChkGlob/chkglob.cc,calcCksum,Quality
11235,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/Ethdiag/ToolEthdiag/dumptop.c,dumptop,Quality
11236,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/CfgEEPROM/ToolCfgEEPROM/cfgEEPROMConfig.cc,main,Quality
11237,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/CfgEEPROM/ToolCfgEEPROM/cfgEEPROMConfig.cc,main,Quality
11238,Unchecked return value,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Cmdparse/ProcScriptReader/script_reader.cc,main,Quality
11239,Unchecked return value from library,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/SwLoader/ProcSwLoadLauncher/sw_load_launcher.cc,main,Quality
11240,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/Arcdiag/ToolArcdiag/dumpem.c,dumpem,Quality
11241,Ignoring number of bytes read,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Error handling issues,/Tools/Arcdiag/ToolArcdiag/dumpdetail.c,dumpdetail,Quality
11242,Operands don't affect result,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/opt/qnx650/target/qnx6/usr/include/cpp/xtree,insert,Quality
11244,Operands don't affect result,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/opt/qnx650/target/qnx6/usr/include/cpp/xtree,insert,Quality
11245,Operands don't affect result,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/opt/qnx650/target/qnx6/usr/include/cpp/xtree,insert,Quality
11246,Operands don't affect result,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/opt/qnx650/target/qnx6/usr/include/cpp/xtree,insert,Quality
11247,Operands don't affect result,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/opt/qnx650/target/qnx6/usr/include/cpp/xtree,insert,Quality
11248,Operands don't affect result,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/opt/qnx650/target/qnx6/usr/include/cpp/istream,operator >>,Quality
11249,Logical vs. bitwise operator,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/Cabsig/ProcCsAgent/cs_agent.cc,process_message,Quality
11251,Same on both sides,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Fepanel/Dtc/Appmgr/CtrlLaws/LibDtcIntegrated/dcio_integrated.c,m7_c7_cranklibrary,Quality
11253,Extra high-order bits,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/boot/ppcbe/src/hardware/devn/speedo/speedo.c,speedo_process_interrupt,Quality
11254,Operands don't affect result,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/boot/ppcbe/src/hardware/devg/smi7xx/mode.c,program_crtc,Quality
11255,Operands don't affect result,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/Vehctrl/Prop/LibProp/prop_tmd.cc,nonVolDataRestore,Quality
11256,Wrong operator used,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/Fepanel/Dtc/Appmgr/CtrlLaws/DtcProcIntegrated/fe123intrdc.cc,TmrReset,Quality
11257,Same on both sides,Medium,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Incorrect expression,/Mmi/ProcDisp/console_override.c,key_console_override_cancel,Quality
11259,Wrong operator used,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Integer handling issues,/Fepanel/Dtc/Appmgr/CtrlLaws/DtcProcIntegrated/highSpdTmr.cc,highSpdTmrReset,Quality
11260,Copy-paste error,Medium,Absent Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Mmi/ProcDispMca/cs_setup_up.c,write_record_to_file,Quality
11261,Copy-paste error,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Vehctrl/Batt/LibBatt/batt_incd_class.cc,evaluate,Quality
11262,Copy-paste error,Medium,Dismissed,6/17/2016,Unassigned,Intentional,Unspecified,Ignore,Other,Incorrect expression,/Fepanel/Dtc/Appmgr/CtrlLaws/LibDtcIntegrated/dcio_integrated.c,m7_c14_cranklibrary,Quality
11277,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Netman/LibNetMan/network_manager.cc,network_manager,Quality
11279,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Pig/LibPigIntfc/pigintfc.cc,CPigIntfc,Quality
11280,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Pig/LibPigIntfc/pigintfc.cc,CPigIntfc,Quality
11281,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Invcomms/LibInv/param_manager.cc,inverter_param_manager,Quality
11285,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Cfgmgr/LibCmParse/char_feed.cc,char_feeder,Quality
11286,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Cfgmgr/LibCmParse/encrypt.cc,CCfgMgrEncrypt,Quality
11288,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Debug/LibDebug/remote_output.cc,remote_output,Quality
11289,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Debug/LibDebug/remote_output.cc,remote_output,Quality
11291,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Debug/ProcDebugCollect/debug_user_data.cc,debug_user_data,Quality
11292,Resource leak in object,High,Triaged,6/17/2016,Unassigned,Pending,Unspecified,Undecided,Other,Resource leaks,/Debug/ProcDebugCollect/cmd_user_data.cc,cmd_user_data,Quality
